School_ID,Long_Name,Primary_Category,Address,City,State,Zip,Attendance_Boundaries,Student_Count_Total,Student_Count_Low_Income,Percent_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Dress_Code,Bilingual_Services,Refugee_Services,Title_1_Eligible,School_Latitude,School_Longitude,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Average_Performance,Progress_Report_Year,Student_Growth_Rating,Growth_Reading_Grades_Tested_Pct_ES,Growth_Reading_Grades_Tested_Label_ES,Growth_Math_Grades_Tested_Pct_ES,Growth_Math_Grades_Tested_Label_ES
400009,Academy for Global Citizenship Charter School,ES,4647 W 47TH ST,Chicago,Illinois,60632,FALSE,465,329,70.75,59,166,21,417,24,0,2,0,0,1,0,0,TRUE,TRUE,,TRUE,41.807579,-87.740097,AVERAGE,65,65th,45,45th,55,2018,AVERAGE,75,75th,39,39th
400011,Alain Locke Charter School,ES,3141 W JACKSON BLVD,Chicago,Illinois,60612,FALSE,444,384,86.49,49,0,442,2,0,0,0,0,0,0,0,0,TRUE,,,TRUE,41.877248,-87.705235,AVERAGE,67,67th,56,56th,61.5,2018,BELOW AVERAGE,19,19th,35,35th
400013,ASPIRA Charter School - Early College High School,HS,3986 W BARRY AVE,Chicago,Illinois,60618,FALSE,320,303,94.69,81,102,7,303,5,2,1,0,0,2,0,0,TRUE,TRUE,FALSE,TRUE,41.937298,-87.727096,FAR BELOW EXPECTATIONS,,,,,#DIV/0!,2018,AVERAGE,,,,
400017,ASPIRA Charter School - Haugan Middle School,MS,3729 W LELAND AVE,Chicago,Illinois,60625,FALSE,308,293,95.13,52,102,11,276,8,10,1,0,0,1,1,0,TRUE,TRUE,TRUE,TRUE,41.966406,-87.721825,AVERAGE,54,54th,32,32nd,43,2018,BELOW AVERAGE,50,50th,9,9th
400021,Catalyst Elementary Charter School - Circle Rock,ES,5608 W WASHINGTON BLVD,Chicago,Illinois,60644,FALSE,510,418,81.96,50,1,492,13,0,2,0,0,0,3,0,0,TRUE,,,TRUE,41.882322,-87.765322,AVERAGE,49,49th,32,32nd,40.5,2018,AVERAGE,58,58th,27,27th
400022,Chicago High School for the Arts (ChiArts),HS,2714 W AUGUSTA BLVD,Chicago,Illinois,60622,FALSE,597,220,36.85,34,5,200,213,118,10,2,0,0,15,1,38,FALSE,FALSE,FALSE,FALSE,41.899377,-87.694945,MET EXPECTATIONS,,,,,#DIV/0!,2018,AVERAGE,,,,
400023,CICS - Avalon/South Shore,ES,1501 E 83RD PL,Chicago,Illinois,60619,FALSE,448,404,90.18,52,4,439,7,0,1,0,0,0,1,0,0,TRUE,TRUE,,TRUE,41.743179,-87.587928,ABOVE AVERAGE,78,78th,70,70th,74,2018,ABOVE AVERAGE,75,75th,52,52nd
400024,CICS - Basil,ES,1816 W GARFIELD BLVD,Chicago,Illinois,60609,FALSE,650,624,96,81,57,542,93,0,0,5,0,0,4,0,6,TRUE,TRUE,,TRUE,41.794043,-87.670243,AVERAGE,54,54th,54,54th,54,2018,AVERAGE,68,68th,63,63rd
400025,CICS - Bucktown,ES,2235 N HAMILTON AVE,Chicago,Illinois,60647,FALSE,668,506,75.75,85,119,82,537,28,5,8,0,0,8,0,0,TRUE,TRUE,,TRUE,41.922415,-87.681358,ABOVE AVERAGE,82,82nd,70,70th,76,2018,AVERAGE,58,58th,48,48th
400026,CICS - Loomis Primary,ES,9535 S LOOMIS ST,Chicago,Illinois,60643,FALSE,516,475,92.05,50,0,515,1,0,0,0,0,0,0,0,0,TRUE,TRUE,,TRUE,41.720246,-87.657561,AVERAGE,19,19th,42,42nd,30.5,2018,NO DATA AVAILABLE,,,,
